"ID","Group","WD","rats","time"
"1","1","1","WD1",240,1
"2","2","1","WD1",225,1
"3","3","1","WD1",245,1
"4","4","1","WD1",260,1
"5","5","1","WD1",255,1
"6","6","1","WD1",260,1
"7","7","1","WD1",275,1
"8","8","1","WD1",245,1
"9","9","2","WD1",410,1
"10","10","2","WD1",405,1
"11","11","2","WD1",445,1
"12","12","2","WD1",555,1
"13","13","3","WD1",470,1
"14","14","3","WD1",535,1
"15","15","3","WD1",520,1
"16","16","3","WD1",510,1
"17","1","1","WD8",250,8
"18","2","1","WD8",230,8
"19","3","1","WD8",250,8
"20","4","1","WD8",255,8
"21","5","1","WD8",260,8
"22","6","1","WD8",265,8
"23","7","1","WD8",275,8
"24","8","1","WD8",255,8
"25","9","2","WD8",415,8
"26","10","2","WD8",420,8
"27","11","2","WD8",445,8
"28","12","2","WD8",560,8
"29","13","3","WD8",465,8
"30","14","3","WD8",525,8
"31","15","3","WD8",525,8
"32","16","3","WD8",510,8
"33","1","1","WD15",255,1
"34","2","1","WD15",230,1
"35","3","1","WD15",250,1
"36","4","1","WD15",255,1
"37","5","1","WD15",255,1
"38","6","1","WD15",270,1
"39","7","1","WD15",260,1
"40","8","1","WD15",260,1
"41","9","2","WD15",425,1
"42","10","2","WD15",430,1
"43","11","2","WD15",450,1
"44","12","2","WD15",565,1
"45","13","3","WD15",475,1
"46","14","3","WD15",530,1
"47","15","3","WD15",530,1
"48","16","3","WD15",520,1
"49","1","1","WD22",260,2
"50","2","1","WD22",232,2
"51","3","1","WD22",255,2
"52","4","1","WD22",265,2
"53","5","1","WD22",270,2
"54","6","1","WD22",275,2
"55","7","1","WD22",270,2
"56","8","1","WD22",268,2
"57","9","2","WD22",428,2
"58","10","2","WD22",440,2
"59","11","2","WD22",452,2
"60","12","2","WD22",580,2
"61","13","3","WD22",485,2
"62","14","3","WD22",533,2
"63","15","3","WD22",540,2
"64","16","3","WD22",515,2
"65","1","1","WD29",262,2
"66","2","1","WD29",240,2
"67","3","1","WD29",262,2
"68","4","1","WD29",265,2
"69","5","1","WD29",270,2
"70","6","1","WD29",275,2
"71","7","1","WD29",273,2
"72","8","1","WD29",270,2
"73","9","2","WD29",438,2
"74","10","2","WD29",448,2
"75","11","2","WD29",455,2
"76","12","2","WD29",590,2
"77","13","3","WD29",487,2
"78","14","3","WD29",535,2
"79","15","3","WD29",543,2
"80","16","3","WD29",530,2
"81","1","1","WD36",258,3
"82","2","1","WD36",240,3
"83","3","1","WD36",265,3
"84","4","1","WD36",268,3
"85","5","1","WD36",273,3
"86","6","1","WD36",277,3
"87","7","1","WD36",274,3
"88","8","1","WD36",265,3
"89","9","2","WD36",443,3
"90","10","2","WD36",460,3
"91","11","2","WD36",455,3
"92","12","2","WD36",597,3
"93","13","3","WD36",493,3
"94","14","3","WD36",540,3
"95","15","3","WD36",546,3
"96","16","3","WD36",538,3
"97","1","1","WD43",266,4
"98","2","1","WD43",243,4
"99","3","1","WD43",267,4
"100","4","1","WD43",270,4
"101","5","1","WD43",274,4
"102","6","1","WD43",278,4
"103","7","1","WD43",276,4
"104","8","1","WD43",265,4
"105","9","2","WD43",442,4
"106","10","2","WD43",458,4
"107","11","2","WD43",451,4
"108","12","2","WD43",595,4
"109","13","3","WD43",493,4
"110","14","3","WD43",525,4
"111","15","3","WD43",538,4
"112","16","3","WD43",535,4
"113","1","1","WD44",266,4
"114","2","1","WD44",244,4
"115","3","1","WD44",267,4
"116","4","1","WD44",272,4
"117","5","1","WD44",273,4
"118","6","1","WD44",278,4
"119","7","1","WD44",271,4
"120","8","1","WD44",267,4
"121","9","2","WD44",446,4
"122","10","2","WD44",464,4
"123","11","2","WD44",450,4
"124","12","2","WD44",595,4
"125","13","3","WD44",504,4
"126","14","3","WD44",530,4
"127","15","3","WD44",544,4
"128","16","3","WD44",542,4
"129","1","1","WD50",265,5
"130","2","1","WD50",238,5
"131","3","1","WD50",264,5
"132","4","1","WD50",274,5
"133","5","1","WD50",276,5
"134","6","1","WD50",284,5
"135","7","1","WD50",282,5
"136","8","1","WD50",273,5
"137","9","2","WD50",456,5
"138","10","2","WD50",475,5
"139","11","2","WD50",462,5
"140","12","2","WD50",612,5
"141","13","3","WD50",507,5
"142","14","3","WD50",543,5
"143","15","3","WD50",553,5
"144","16","3","WD50",550,5
"145","1","1","WD57",272,5
"146","2","1","WD57",247,5
"147","3","1","WD57",268,5
"148","4","1","WD57",273,5
"149","5","1","WD57",278,5
"150","6","1","WD57",279,5
"151","7","1","WD57",281,5
"152","8","1","WD57",274,5
"153","9","2","WD57",468,5
"154","10","2","WD57",484,5
"155","11","2","WD57",466,5
"156","12","2","WD57",618,5
"157","13","3","WD57",518,5
"158","14","3","WD57",544,5
"159","15","3","WD57",555,5
"160","16","3","WD57",553,5
"161","1","1","WD64",278,6
"162","2","1","WD64",245,6
"163","3","1","WD64",269,6
"164","4","1","WD64",275,6
"165","5","1","WD64",280,6
"166","6","1","WD64",281,6
"167","7","1","WD64",284,6
"168","8","1","WD64",278,6
"169","9","2","WD64",478,6
"170","10","2","WD64",496,6
"171","11","2","WD64",472,6
"172","12","2","WD64",628,6
"173","13","3","WD64",525,6
"174","14","3","WD64",559,6
"175","15","3","WD64",548,6
"176","16","3","WD64",569,6
